date,open,high,low,close,volume,Name
2013-05-21,106.0211,107.0366,105.4338,106.078,281419,MLM
2013-05-22,105.519,107.6599,102.1751,102.9424,534909,MLM
2013-05-23,101.493,102.6014,100.7731,102.5351,543837,MLM
2013-05-24,102.0804,103.7002,101.1236,102.5161,402883,MLM
2013-05-28,104.2876,104.9791,103.5866,104.1644,519561,MLM
2013-05-29,103.4824,104.1076,102.1941,103.6529,501916,MLM
2013-05-30,103.9762,105.3263,103.2441,105.1171,329323,MLM
2013-05-31,104.4801,105.4784,103.5769,103.6624,411195,MLM
2013-06-03,103.6054,104.347,101.6183,103.3392,421866,MLM
2013-06-04,103.3677,104.7178,101.0193,101.7133,487688,MLM
2013-06-05,101.1049,101.5517,99.5266,99.5551,253261,MLM
2013-06-06,99.5361,101.295,98.5758,101.2855,459528,MLM
2013-06-07,101.6753,102.474,100.5534,101.3616,222971,MLM
2013-06-10,101.6658,104.0713,100.3537,103.6529,376597,MLM
2013-06-11,101.5993,103.4152,100.9147,101.9415,205843,MLM
2013-06-12,103.0064,103.4152,100.7816,101.1809,139756,MLM
2013-06-13,101.5897,104.1854,101.1619,104.1093,268624,MLM
2013-06-14,104.2139,104.7938,103.4723,104.0427,197338,MLM
2013-06-17,105.1742,105.3928,103.7765,104.385,187943,MLM
2013-06-18,104.6132,104.6227,103.4533,104.328,139694,MLM
2013-06-19,104.2994,104.9155,102.7687,102.7687,323596,MLM
2013-06-20,101.2094,101.5327,99.2318,99.8593,392631,MLM
2013-06-21,100.62,100.62,96.0943,96.1894,599046,MLM
2013-06-24,94.7157,94.7157,92.3582,93.223,623887,MLM
2013-06-25,94.3829,95.2006,93.4607,94.7822,366502,MLM
2013-06-26,95.8661,96.1038,94.1585,94.4875,336637,MLM
2013-06-27,95.3432,95.9517,94.6111,95.6665,262430,MLM
2013-06-28,95.5904,96.0468,93.4607,93.5748,435785,MLM
2013-07-01,94.4114,96.6553,94.2688,95.2291,464402,MLM
2013-07-02,95.1055,96.4651,92.8474,93.1564,220007,MLM
2013-07-03,91.8348,92.952,91.6257,91.8729,354837,MLM
2013-07-05,93.0613,93.1849,91.6827,92.4148,431106,MLM
2013-07-08,93.5462,94.1737,92.5432,93.1184,480825,MLM
2013-07-09,93.6128,96.6933,93.0946,96.1989,487625,MLM
2013-07-10,96.0658,98.9656,95.8471,98.5568,614046,MLM
2013-07-11,100.4393,100.696,98.9181,99.8403,390776,MLM
2013-07-12,100.2397,100.696,99.0322,100.2967,290583,MLM
2013-07-15,100.2397,101.7133,99.479,99.8213,225452,MLM
2013-07-16,99.7833,100.5439,98.3191,98.6519,195221,MLM
2013-07-17,98.861,100.2016,98.4807,99.6407,313173,MLM
2013-07-18,99.3554,101.1904,99.3554,100.8006,195285,MLM
2013-07-19,100.5819,101.5802,100.5059,101.1904,148191,MLM
2013-07-22,101.1049,101.6373,100.4013,100.5914,192136,MLM
2013-07-23,100.9242,101.3616,100.2444,100.3442,241460,MLM
2013-07-24,100.696,100.696,98.8135,99.6026,239166,MLM
2013-07-25,99.4695,99.6502,96.988,97.4444,283806,MLM
2013-07-26,96.8359,98.5473,96.8359,98.1955,172978,MLM
2013-07-29,97.6821,97.9293,96.2369,96.4176,238809,MLM
2013-07-30,93.3846,97.9293,90.9316,95.6665,1041245,MLM
2013-07-31,95.8661,96.7218,94.3924,94.6967,564338,MLM
2013-08-01,96.6838,98.6424,94.6967,96.7884,677025,MLM
2013-08-02,96.5792,97.3018,95.7235,96.2179,237483,MLM
2013-08-05,96.1513,96.1513,94.8963,95.9422,309767,MLM
2013-08-06,95.2671,95.2671,94.0787,94.4495,214170,MLM
2013-08-07,94.1262,94.7251,93.4036,93.9741,348549,MLM
2013-08-08,94.7955,95.3527,93.2325,93.879,508726,MLM
2013-08-09,93.8125,94.8583,92.6563,94.2973,279732,MLM
2013-08-12,93.8695,95.5999,93.3751,94.0311,314813,MLM
2013-08-13,94.0311,94.1833,93.1374,93.4987,285003,MLM
2013-08-14,93.6508,93.8315,92.846,93.204,227882,MLM
2013-08-15,92.044,92.1011,90.6179,90.9411,409955,MLM
2013-08-16,91.0267,91.7873,90.6084,91.5211,236795,MLM
